Time,Service,Level,Message,Metadata,TraceID
2025-12-04T20:02:45.000Z,syslog,info,"Dec  4 15:02:45 Tower kernel: eth0: renamed from vethe9b99c6","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T20:02:41.000Z,syslog,info,"Dec  4 15:02:41 Tower kernel: docker0: port 28(vethd08a29b) entered blocking state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T20:02:36.000Z,udp://10.6.26.1:22156,error,"Mailserver response error -- 535 Incorrect authentication data","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""source_ip"":""udp://10.6.26.1:22156""}",
2025-12-04T20:02:34.000Z,udp://10.6.26.1:22156,info,"- [meta sequenceId=""1""] 'LogPartition' space usage test succeeded [current space usage = 86.2%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":6,""source_ip"":""udp://10.6.26.1:22156""}",
2025-12-04T20:01:40.000Z,syslog,info,"Dec  4 15:01:40 Tower kernel: eth0: renamed from veth4e8b057","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T20:01:36.000Z,syslog,info,"Dec  4 15:01:36 Tower kernel: docker0: port 28(veth9e3e59e) entered blocking state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T20:00:35.000Z,syslog,info,"Dec  4 15:00:35 Tower kernel: eth0: renamed from vethd6e26ff","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T20:00:32.000Z,syslog,info,"Dec  4 15:00:32 Tower kernel: docker0: port 28(veth798ad54) entered blocking state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:59:34.000Z,syslog,info,"Dec  4 14:59:34 Tower kernel: docker0: port 28(vethf8b58a9) entered disabled state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:59:30.000Z,syslog,info,"Dec  4 14:59:30 Tower kernel: eth0: renamed from vetheb4117d","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:59:24.000Z,syslog,info,"Dec  4 14:59:24 Tower kernel: docker0: port 28(vethf8b58a9) entered blocking state","{""source"":""syslog"",""facility"":1,""severity"":6}",
2025-12-04T19:58:34.000Z,monit,error,"- [meta sequenceId=""7""] 'LogPartition' space usage 91.1% matches resource limit [space usage > 90.0%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:58:23.000Z,Tower,info,"Dec  4 14:58:23 Tower kernel: eth0: renamed from veth05b884c","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:58:20.000Z,Tower,info,"Dec  4 14:58:20 Tower kernel: docker0: port 28(vethcec6db9) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:57:19.000Z,Tower,info,"Dec  4 14:57:19 Tower kernel: eth0: renamed from vethf726bd9","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:57:15.000Z,Tower,info,"Dec  4 14:57:15 Tower kernel: docker0: port 28(veth6497139) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:56:34.000Z,monit,error,"- [meta sequenceId=""6""] 'LogPartition' space usage 90.8% matches resource limit [space usage > 90.0%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:56:14.000Z,Tower,info,"Dec  4 14:56:14 Tower kernel: eth0: renamed from veth9a6aecf","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:56:08.000Z,Tower,info,"Dec  4 14:56:08 Tower kernel: docker0: port 28(veth9c42fbc) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:55:09.000Z,Tower,info,"Dec  4 14:55:09 Tower kernel: docker0: port 28(veth5371444) entered disabled state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:55:02.000Z,Tower,info,"Dec  4 14:55:02 Tower kernel: docker0: port 28(veth5371444) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:54:34.000Z,monit,error,"- [meta sequenceId=""5""] 'LogPartition' space usage 90.5% matches resource limit [space usage > 90.0%]","{""source"":""syslog"",""program"":""40685"",""facility"":3,""severity"":3,""original_host"":""monit""}",
2025-12-04T19:54:03.000Z,Tower,info,"Dec  4 14:54:03 Tower kernel: docker0: port 28(veth0506cbd) entered disabled state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:53:57.000Z,Tower,info,"Dec  4 14:53:57 Tower kernel: docker0: port 28(veth0506cbd) entered blocking state","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
2025-12-04T19:52:56.000Z,Tower,info,"Dec  4 14:52:56 Tower kernel: eth0: renamed from veth031d965","{""source"":""syslog"",""program"":""kernel"",""facility"":1,""severity"":6,""parsed_host"":""Tower""}",
